type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,game_date
post,2010010901,CIN,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010010901/2010010901_gtd.json,14,24,2010-01-09 00:00:01
post,2010010900,DAL,PHI,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010010900/2010010900_gtd.json,34,14,2010-01-09 00:00:01
post,2010011001,NE,BAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011001/2010011001_gtd.json,14,33,2010-01-10 00:00:01
post,2010011000,ARI,GB,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011000/2010011000_gtd.json,51,45,2010-01-10 00:00:01
post,2010011601,NO,ARI,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011601/2010011601_gtd.json,45,14,2010-01-16 00:00:01
post,2010011600,IND,BAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011600/2010011600_gtd.json,20,3,2010-01-16 00:00:01
post,2010011700,MIN,DAL,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011700/2010011700_gtd.json,34,3,2010-01-17 00:00:01
post,2010011701,SD,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010011701/2010011701_gtd.json,14,17,2010-01-17 00:00:01
post,2010012400,IND,NYJ,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010012400/2010012400_gtd.json,30,17,2010-01-24 00:00:01
post,2010012401,NO,MIN,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010012401/2010012401_gtd.json,31,28,2010-01-24 00:00:01
post,2010013100,APR,NPR,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010013100/2010013100_gtd.json,41,34,2010-01-31 00:00:01
post,2010020700,IND,NO,18,2009,POST,http://www.nfl.com/liveupdate/game-center/2010020700/2010020700_gtd.json,17,31,2010-02-07 00:00:01
